IF,CEP,CEP_numeros,UF,Município,latitude,longitude,Instituicao
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E  TECNOLOGIA DE PERNAMBUCO","Recife, PE. CEP: 50740-540.",50740540,PE,Recife,-8.04666,-34.8771,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E  TECNOLOGIA DE PERNAMBUCO"
CAMPUS AFOGADOS DA INGAZEIRA,"Afogados da Ingazeira, PE. CEP: 56800-000.",56800000,PE,Afogados da Ingazeira,-7.74312,-37631,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E  TECNOLOGIA DE PERNAMBUCO"
CAMPUS BARREIROS,"Barreiros, PE. CEP: 55560-000.",55560000,PE,Barreiros,-8.81605,-35.1832,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E  TECNOLOGIA DE PERNAMBUCO"
CAMPUS BELO JARDIM,"Belo Jardim, PE. CEP: 55155-730.",55155730,PE,Belo Jardim,-8.3313,-36.4258,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E  TECNOLOGIA DE PERNAMBUCO"
CAMPUS CABO DE SANTO AGOSTINHO,"Cabo de Santo Agostinho, PE. CEP: 54510-110.",54510110,PE,Cabo de Santo Agostinho,-8.28218,-35.0253,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E  TECNOLOGIA DE PERNAMBUCO"
CAMPUS CARUARU,"Caruaru, PE. CEP: 55040-120.",55040120,PE,Caruaru,-8.28455,-35.9699,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E  TECNOLOGIA DE PERNAMBUCO"
CAMPUS GARANHUNS,"Garanhuns, PE. CEP: 55299-390.",55299390,PE,Garanhuns,-8.88243,-36.4966,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E  TECNOLOGIA DE PERNAMBUCO"
CAMPUS IGARASSU,"Igarassu, PE. CEP: 53640-000.",53640000,PE,Igarassu,-7.82881,-34.9013,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E  TECNOLOGIA DE PERNAMBUCO"
CAMPUS IPOJUCA,"Ipojuca, PE. CEP: 55590-000.",55590000,PE,Ipojuca,-8.39303,-35.0609,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E  TECNOLOGIA DE PERNAMBUCO"
CAMPUS JABOATÃO DOS GUARARAPES,"Jaboatão dos Guararapes, PE. CEP: 54410-390.",54410390,PE,Jaboatão dos Guararapes,-8.11298,-35015,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E  TECNOLOGIA DE PERNAMBUCO"
CAMPUS OLINDA,"Olinda, PE. CEP: 53140-110.",53140110,PE,Olinda,-8.01017,-34.8545,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E  TECNOLOGIA DE PERNAMBUCO"
CAMPUS PALMARES,"Palmares, PE. CEP: 55540-000.",55540000,PE,Palmares,-8.68423,-35589,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E  TECNOLOGIA DE PERNAMBUCO"
CAMPUS PAULISTA,"Paulista, PE. CEP: 53403-740.",53403740,PE,Paulista,-7.93401,-34.8684,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E  TECNOLOGIA DE PERNAMBUCO"
CAMPUS PESQUEIRA,"Pesqueira, PE. CEP: 55200-000.",55200000,PE,Pesqueira,-8.35797,-36.6978,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E  TECNOLOGIA DE PERNAMBUCO"
CAMPUS RECIFE,"Recife, PE. CEP: 50740-540.",50740540,PE,Recife,-8.04666,-34.8771,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E  TECNOLOGIA DE PERNAMBUCO"
CAMPUS VITÓRIA DE SANTO ANTÃO,"Vitória de Santo Antão, PE. CEP: 55600-000.",55600000,PE,Vitória de Santo Antão,-8.12819,-35.2976,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E  TECNOLOGIA DE PERNAMBUCO"
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SERTÃO PERNAMBUCANO","Petrolina, PE. CEP: 56302-100.",56302100,PE,Petrolina,-9.38866,-40.5027,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SERTÃO PERNAMBUCANO"
CAMPUS FLORESTA,"Floresta, PE. CEP: 56400-000.",56400000,PE,Floresta,-8.60307,-38.5687,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SERTÃO PERNAMBUCANO"
CAMPUS OURICURI,"Ouricuri, PE. CEP: 56200-000.",56200000,PE,Ouricuri,-7.87918,-40.08,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SERTÃO PERNAMBUCANO"
CAMPUS PETROLINA,"Petrolina, PE. CEP: 56314-520.",56314520,PE,Petrolina,-9.38866,-40.5027,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SERTÃO PERNAMBUCANO"
CAMPUS PETROLINA ZONA RURAL,"Petrolina, PE. CEP: 56302-970.",56302970,PE,Petrolina,-9.38866,-40.5027,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SERTÃO PERNAMBUCANO"
CAMPUS SALGUEIRO,"Salgueiro, PE. CEP: 56000-000.",56000000,PE,Salgueiro,-8.07373,-39.1247,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SERTÃO PERNAMBUCANO"
CAMPUS SANTA MARIA DA BOA VISTA,"Santa Maria da Boa Vista, PE. CEP: 56380-000.",56380000,PE,Santa Maria da Boa Vista,-8.79766,-39.8241,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SERTÃO PERNAMBUCANO"
CAMPUS SERRA TALHADA,"Serra Talhada, PE. CEP: 56912-140.",56912140,PE,Serra Talhada,-7.98178,-38289,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SERTÃO PERNAMBUCANO"
COLÉGIO AGRÍCOLA DOM AGOSTINHO IKAS/UFRPE,"São Lourenço da Mata, PE. CEP: 54735-000.",54735000,PE,São Lourenço da Mata,-8.00684,-35.0124,COLÉGIO AGRÍCOLA DOM AGOSTINHO IKAS/UFRPE
COLÉGIO AGRÍCOLA DOM AGOSTINHO IKAS/UFRPE,"São Lourenço da Mata, PE. CEP: 54735-000.",54735000,PE,São Lourenço da Mata,-8.00684,-35.0124,COLÉGIO AGRÍCOLA DOM AGOSTINHO IKAS/UFRPE
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ","Teresina, PI. CEP: 64000-040.",64000040,PI,Teresina,-5.09194,-42.8034,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ"
CAMPUS ANGICAL,"Angical do Piauí, PI. CEP: 64410-000.",64410000,PI,Angical do Piauí,-6.08786,-42.74,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ"
CAMPUS AVANÇADO DIRCEU ARCOVERDE,"Teresina, PI. CEP: 64082-140.",64082140,PI,Teresina,-5.09194,-42.8034,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ"
CAMPUS AVANÇADO JOSÉ DE FREITAS,"José de Freitas, PI. CEP: 64110-000.",64110000,PI,José de Freitas,-4.75146,-42.5746,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ"
CAMPUS AVANÇADO PIO IX,"Pio IX, PI. CEP: 64660-000.",64660000,PI,Pio IX,-6.83002,-40.6083,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ"
CAMPUS CAMPO MAIOR,"Campo Maior, PI. CEP: 64280-970.",64280970,PI,Campo Maior,-4.8217,-42.1641,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ"
CAMPUS COCAL,"Cocal, PI. CEP: 64235-970.",64235970,PI,Cocal,-3.47279,-41.5546,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ"
CAMPUS CORRENTE,"Corrente, PI. CEP: 64980-000.",64980000,PI,Corrente,-10.4333,-45.1633,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ"
CAMPUS FLORIANO,"Floriano, PI. CEP: 64800-000.",64800000,PI,Floriano,-6.77182,-43.0241,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ"
CAMPUS OEIRAS,"Oeiras, PI. CEP: 64500-000.",64500000,PI,Oeiras,-7.01915,-42.1283,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ"
CAMPUS PARNAÍBA,"Parnaíba, PI. CEP: 64215-000.",64215000,PI,Parnaíba,-2.90585,-41.7754,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ"
CAMPUS PAULISTANA,"Paulistana, PI. CEP: 64750-000.",64750000,PI,Paulistana,-8.13436,-41.1431,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ"
CAMPUS PEDRO II,"Pedro II, PI. CEP: 64255-000.",64255000,PI,Pedro II,-4.42585,-41.4482,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ"
CAMPUS PICOS,"Picos, PI. CEP: 64600-000.",64600000,PI,Picos,-7.07721,-41467,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ"
CAMPUS PIRIPIRI,"Piripiri, PI. CEP: 64260-000.",64260000,PI,Piripiri,-4.27157,-41.7716,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ"
CAMPUS SÃO JOAO DO PIAUÍ,"São João do Piauí, PI. CEP: 64760-000.",64760000,PI,São João do Piauí,-8.35466,-42.2559,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ"
CAMPUS SÃO RAIMUNDO NONATO,"São Raimundo Nonato, PI. CEP: 64770-000.",64770000,PI,São Raimundo Nonato,-9.01241,-42.6987,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ"
CAMPUS TERESINA - CENTRAL,"Teresina, PI. CEP: 64000-040.",64000040,PI,Teresina,-5.09194,-42.8034,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ"
CAMPUS TERESINA ZONA SUL,"Teresina, PI. CEP: 64018-000.",64018000,PI,Teresina,-5.09194,-42.8034,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ"
CAMPUS URUÇUÍ,"Uruçuí, PI. CEP: 64860-000.",64860000,PI,Uruçuí,-7.23944,-44.5577,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ"
CAMPUS VALENÇA DO PIAUÍ,"Valença do Piauí, PI. CEP: 64300-970.",64300970,PI,Valença do Piauí,-6.40301,-41.7375,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ"
COLÉGIO TÉCNICO DE FLORIANO DA UFPI,"Floriano, PI. CEP: 64800-000.",64800000,PI,Floriano,-6.77182,-43.0241,COLÉGIO TÉCNICO DE FLORIANO DA UFPI
COLÉGIO AMILCAR FERREIRA SOBRAL/UFPI,"Floriano, PI. CEP: 64800-000.",64800000,PI,Floriano,-6.77182,-43.0241,COLÉGIO AMILCAR FERREIRA SOBRAL/UFPI
COLÉGIO TÉCNICO DE TERESINA/UFPI,"Teresina, PI. CEP: 64049-550.",64049550,PI,Teresina,-5.09194,-42.8034,COLÉGIO TÉCNICO DE TERESINA/UFPI
COLÉGIO AGRÍCOLA DE TERESINA/UFPI,"Teresina, PI. CEP: 64049-550.",64049550,PI,Teresina,-5.09194,-42.8034,COLÉGIO AGRÍCOLA DE TERESINA/UFPI
COLÉGIO TÉCNICO DE BOM JESUS/UFPI,"Bom Jesus, PI. CEP: 64900-000.",64900000,PI,Bom Jesus,-9.07124,-44359,COLÉGIO TÉCNICO DE BOM JESUS/UFPI
COLÉGIO AGRÍCOLA DE BOM JESUS/UFPI,"Bom Jesus, PI. CEP: 64900-000.",64900000,PI,Bom Jesus,-9.07124,-44359,COLÉGIO AGRÍCOLA DE BOM JESUS/UFPI
COLÉGIO PEDRO II,"Rio de Janeiro, RJ. CEP: 20921-903.",20921903,RJ,Rio de Janeiro,-22.9129,-43.2003,COLÉGIO PEDRO II
CAMPUS CENTRO,"Rio de Janeiro, RJ. CEP: 20080-001.",20080001,RJ,Rio de Janeiro,-22.9129,-43.2003,COLÉGIO PEDRO II
CAMPUS DUQUE DE CAXIAS,"Duque de Caxias, RJ. CEP: 25020-210.",25020210,RJ,Duque de Caxias,-22.7858,-43.3049,COLÉGIO PEDRO II
CAMPUS ENGENHO NOVO I,"Rio de Janeiro, RJ. CEP: 20715-003.",20715003,RJ,Rio de Janeiro,-22.9129,-43.2003,COLÉGIO PEDRO II
CAMPUS ENGENHO NOVO II,"Rio de Janeiro, RJ. CEP: 20715-003.",20715003,RJ,Rio de Janeiro,-22.9129,-43.2003,COLÉGIO PEDRO II
CAMPUS HUMAITÁ I,"Rio de Janeiro, RJ. CEP: 22261-001.",22261001,RJ,Rio de Janeiro,-22.9129,-43.2003,COLÉGIO PEDRO II
CAMPUS HUMAITÁ II,"Rio de Janeiro, RJ. CEP: 22261-001.",22261001,RJ,Rio de Janeiro,-22.9129,-43.2003,COLÉGIO PEDRO II
CAMPUS NITERÓI,"Niterói, RJ. CEP: 24110-256.",24110256,RJ,Niterói,-22.8832,-43.1034,COLÉGIO PEDRO II
CAMPUS REALENGO I,"Rio de Janeiro, RJ. CEP: 21715-000.",21715000,RJ,Rio de Janeiro,-22.9129,-43.2003,COLÉGIO PEDRO II
CAMPUS REALENGO II,"Rio de Janeiro, RJ. CEP: 21710-261.",21710261,RJ,Rio de Janeiro,-22.9129,-43.2003,COLÉGIO PEDRO II
CAMPUS SÃO CRISTOVÃO I,"Rio de Janeiro, RJ. CEP: 20921-440.",20921440,RJ,Rio de Janeiro,-22.9129,-43.2003,COLÉGIO PEDRO II
CAMPUS SÃO CRISTÓVÃO II,"Rio de Janeiro, RJ. CEP: 20921-440.",20921440,RJ,Rio de Janeiro,-22.9129,-43.2003,COLÉGIO PEDRO II
CAMPUS SÃO CRISTÓVÃO III,"Rio de Janeiro, RJ. CEP: 20940-250.",20940250,RJ,Rio de Janeiro,-22.9129,-43.2003,COLÉGIO PEDRO II
CAMPUS TIJUCA I,"Rio de Janeiro, RJ. CEP: 20270-220.",20270220,RJ,Rio de Janeiro,-22.9129,-43.2003,COLÉGIO PEDRO II
CAMPUS TIJUCA II,"Rio de Janeiro, RJ. CEP: 20550-012.",20550012,RJ,Rio de Janeiro,-22.9129,-43.2003,COLÉGIO PEDRO II
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE","Campos dos Goytacazes, RJ. CEP: 28030-130.",28030130,RJ,Campos dos Goytacazes,-21.7622,-41.3181,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE"
CAMPUS AVANÇADO CAMBUCI,"Cambuci, RJ. CEP: 28430-000.",28430000,RJ,Cambuci,-21.5691,-41.9187,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE"
CAMPUS AVANÇADO MARICÁ,"Maricá, RJ. CEP: 24900-000.",24900000,RJ,Maricá,-22.9354,-42.8246,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE"
CAMPUS AVANÇADO SÃO JOÃO DA BARRA,"São João da Barra, RJ. CEP: 28200-000.",28200000,RJ,São João da Barra,-21638,-41.0446,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE"
CAMPUS BOM JESUS DE ITABAPOANA,"Bom Jesus do Itabapoana, RJ. CEP: 28360-000.",28360000,RJ,Bom Jesus do Itabapoana,-21.1449,-41.6822,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE"
CAMPUS CABO FRIO,"Cabo Frio, RJ. CEP: 28900-000.",28900000,RJ,Cabo Frio,-22.8894,-42.0286,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE"
CAMPUS CAMPOS CENTRO,"Campos dos Goytacazes, RJ. CEP: 28030-130.",28030130,RJ,Campos dos Goytacazes,-21.7622,-41.3181,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE"
CAMPUS CAMPOS GUARUS,"Campos dos Goytacazes, RJ. CEP: 28060-010.",28060010,RJ,Campos dos Goytacazes,-21.7622,-41.3181,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE"
CAMPUS ITAPERUNA,"Itaperuna, RJ. CEP: 28300-000.",28300000,RJ,Itaperuna,-21.1997,-41.8799,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE"
CAMPUS MACAÉ,"Macaé, RJ. CEP: 27973-030.",27973030,RJ,Macaé,-22.3768,-41.7848,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE"
CAMPUS QUISSAMÃ,"Quissamã, RJ. CEP: 28735-970.",28735970,RJ,Quissamã,-22.1031,-41.4693,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE"
CAMPUS SANTO ANTÔNIO DE PÁDUA,"Santo Antônio de Pádua, RJ. CEP: 28470-000.",28470000,RJ,Santo Antônio de Pádua,-21541,-42.1832,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE"
POLO DE INOVAÇÃO CAMPOS DOS GOYTACAZES,"Campos dos Goytacazes, RJ. CEP: 28030-130.",28030130,RJ,Campos dos Goytacazes,-21.7622,-41.3181,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE"
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO","Rio de Janeiro, RJ. CEP: 20260-100.",20260100,RJ,Rio de Janeiro,-22.9129,-43.2003,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO"
CAMPUS ARRAIAL  DO  CABO,"Arraial do Cabo, RJ. CEP: 28930-000.",28930000,RJ,Arraial do Cabo,-22.9774,-42.0267,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO"
CAMPUS AVANÇADO MESQUITA,"Mesquita, RJ. CEP: 26551-240.",26551240,RJ,Mesquita,-22.8028,-43.4601,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO"
CAMPUS AVANÇADO RESENDE,"Resende, RJ. CEP: 27542-000.",27542000,RJ,Resende,-22.4705,-44.4509,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO"
CAMPUS DUQUE DE CAXIAS,"Duque de Caxias, RJ. CEP: 25050-100.",25050100,RJ,Duque de Caxias,-22.7858,-43.3049,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO"
CAMPUS ENGENHEIRO PAULO DE FRONTIN,"Engenheiro Paulo de Frontin, RJ. CEP: 26660-000.",26660000,RJ,Engenheiro Paulo de Frontin,-22.5498,-43.6827,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO"
CAMPUS NILÓPOLIS,"Nilópolis, RJ. CEP: 26530-060.",26530060,RJ,Nilópolis,-22.8057,-43.4233,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO"
CAMPUS PARACAMBI,"Paracambi, RJ. CEP: 26600-000.",26600000,RJ,Paracambi,-22.6078,-43.7108,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO"
CAMPUS PINHEIRAL,"Pinheiral, RJ. CEP: 27197-000.",27197000,RJ,Pinheiral,-22.5172,-44.0022,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO"
CAMPUS REALENGO,"Rio de Janeiro, RJ. CEP: 21715-000.",21715000,RJ,Rio de Janeiro,-22.9129,-43.2003,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO"
CAMPUS RIO DE JANEIRO,"Rio de Janeiro, RJ. CEP: 20260-100.",20260100,RJ,Rio de Janeiro,-22.9129,-43.2003,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO"
CAMPUS SÃO GONÇALO,"São Gonçalo, RJ. CEP: 24425-004.",24425004,RJ,São Gonçalo,-22.8268,-43.0634,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO"
CAMPUS VOLTA REDONDA,"Volta Redonda, RJ. CEP: 27215-350.",27215350,RJ,Volta Redonda,-22.5202,-44.0996,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO"
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA,"Rio de Janeiro, RJ. CEP: 20271-110.",20271110,RJ,Rio de Janeiro,-22.9129,-43.2003,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA
CAMPUS VALENÇA,"Valença, RJ. CEP: 27600-000.",27600000,RJ,Valença,-22.2445,-43.7129,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA
UNED ANGRA DOS REIS,"Angra dos Reis, RJ. CEP: 23953-030.",23953030,RJ,Angra dos Reis,-23.0011,-44.3196,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA
UNED ITAGUAÍ,"Itaguaí, RJ. CEP: 23812-101.",23812101,RJ,Itaguaí,-22.8636,-43.7798,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA
UNED MARIA DA GRAÇA,"Rio de Janeiro, RJ. CEP: 20785-223.",20785223,RJ,Rio de Janeiro,-22.9129,-43.2003,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA
UNED NOVA FRIBURGO,"Nova Friburgo, RJ. CEP: 28635-000.",28635000,RJ,Nova Friburgo,-22.2932,-42.5377,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA
UNED NOVA IGUAÇU,"Nova Iguaçu, RJ. CEP: 26041-271.",26041271,RJ,Nova Iguaçu,-22.7556,-43.4603,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA
UNED PETRÓPOLIS,"Petrópolis, RJ. CEP: 25620-003.",25620003,RJ,Petrópolis,-22.52,-43.1926,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA
UNED RIO DE JANEIRO,"Rio de Janeiro, RJ. CEP: 20271-110.",20271110,RJ,Rio de Janeiro,-22.9129,-43.2003,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA
COLÉGIO TÉCNICO/UFRRJ,"Seropédica, RJ. CEP: 23890-000.",23890000,RJ,Seropédica,-22.7526,-43.7155,COLÉGIO TÉCNICO/UFRRJ
COLÉGIO TÉCNICO/UFRRJ,"Seropédica, RJ. CEP: 23890-000.",23890000,RJ,Seropédica,-22.7526,-43.7155,COLÉGIO TÉCNICO/UFRRJ
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE","Mossoró, RN. CEP: 59628-330.",59628330,RN,Mossoró,-5.18374,-37.3474,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE"
CAMPUS APODI,"Apodi, RN. CEP: 59700-000.",59700000,RN,Apodi,-5.65349,-37.7946,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE"
CAMPUS AVANÇADO LAJES,"Lajes, RN. CEP: 59535-000.",59535000,RN,Lajes,-5.69322,-36247,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE"
CAMPUS AVANÇADO PARELHAS,"Parelhas, RN. CEP: 59360-000.",59360000,RN,Parelhas,-6.68491,-36.6566,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE"
CAMPUS CAICÓ,"Caicó, RN. CEP: 59300-000.",59300000,RN,Caicó,-6.45441,-37.1067,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE"
CAMPUS CANGUARETAMA,"Canguaretama, RN. CEP: 59190-000.",59190000,RN,Canguaretama,-6.37193,-35.1281,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE"
CAMPUS CEARÁ-MIRIM,"Ceará-Mirim, RN. CEP: 59570-970.",59570970,RN,Ceará-Mirim,-5.64323,-35.4247,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE"
CAMPUS CURRAIS NOVOS,"Currais Novos, RN. CEP: 59380-000.",59380000,RN,Currais Novos,-6.25484,-36.5146,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE"
CAMPUS IPANGUAÇU,"Ipanguaçu, RN. CEP: 59508-000.",59508000,RN,Ipanguaçu,-5.48984,-36.8501,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE"
CAMPUS JOÃO CÂMARA,"João Câmara, RN. CEP: 59550-000.",59550000,RN,João Câmara,-5.54094,-35.8122,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE"
